external_id,subject,price,posted_date,category,category_name,rooms,size,toilets,floors,width,length,location,longitude,latitude,owner,street_name,ward,ward_name,area,area_name,region,region_name
134378266,"Ngay KCN Dầu Giây, Liền kề 3 Cao Tốc giá 880tr/lô",880000000,1659511722188,1040,Đất,,,,,,,,,,False,,9076,Xã Hưng Lộc,13,Huyện Thống Nhất,,
130929600,Lô đất đẹp mặt tiền đường 486 Phạm Văn Cuội giá rẻ,1800000000,1659511722186,1040,Đất,,,,,,,,,,False,,9482,Xã Phạm Văn Cội,116,Huyện Củ Chi,,
135208794,"Mặt Tiền Quốc Lộ 20, Đối diện chợ Phú Cường bán..",450000000,1659511719000,1040,Đất,,,,,,,,,,False,,9049,Xã Phú Cường,13,Huyện Định Quán,,
130396413,Bán lô đất đường lê văn lương .HXH . 100m2,1990000000,1659511706099,1040,Đất,,,,,,,,,,False,,9528,Xã Nhơn Đức,118,Huyện Nhà Bè,,
135209509,Chính chủ cần bán 2.2 hecta mt Tạo Lực Phú Giáo,55000000000,1659511706000,1040,Đất,,,,,,,,,,False,,8923,Xã Vĩnh Hoà,11,Huyện Phú Giáo,,
135209463,"Bán nhanh vài lô đất KDC Bến Xưa,Q12, SHR 2tỷ1/nền",2100000000,1659511705000,1040,Đất,,,,,,,,,,False,,9228,Phường Thạnh Lộc,107,Quận 12,,
135209495,ĐẤT THỔ GIÁ TỐT TĐC P9 CHỐT NHANH,1880000000,1659511704000,1040,Đất,,,,,,,,,,False,,10174,Phường 9,36,Thành phố Vĩnh Long,,
135209494,"Đất nền view biển Mũi Né, chỉ 950 triệu, DT 220m2",950000000,1659511704000,1040,Đất,,,,,,,,,,False,,3507,Thị trấn Phố Mới,1,Huyện Quế Võ,,
134643418,bán đất vườn thạnh hoà bến lức,1200000000,1659511702054,1040,Đất,,,,,,,,,,False,,9648,Xã Thạnh Hòa,32,Huyện Bến Lức,,
134643418,bán đất vườn thạnh hoà bến lức,1200000000,1659511702054,1040,Đất,,,,,,,,,,False,,9648,Xã Thạnh Hòa,32,Huyện Bến Lức,,
132985084,Đất mt Trần Minh Châu. p5. Tp Tân An. Long An,1350000,1659511702054,1040,Đất,,,,,,,,,,False,,9539,Phường 5,32,Thành phố Tân An,,
135010953,HẠ GIÁ BÁN THU HỒI VỐN,3800000000,1659511682011,1040,Đất,,,,,,,,,,False,,8929,Phường Tân Hiệp,11,Thị xã Tân Uyên,,
134046136,1.000m đất ở Long Thành cách sân bay 9km,3300000000,1659511679977,1040,Đất,,,,,,,,,,False,,9096,Xã Long Đức,13,Huyện Long Thành,,
134908016,"Đất vườn 1005m2 xã Nhuận Đức, Củ Chi",1350000000,1659511679977,1040,Đất,,,,,,,,,,False,,9481,Xã Nhuận Đức,116,Huyện Củ Chi,,
