external_identify,subject,price,posted_date,category,category_name,rooms,size,toilets,floors,width,length,location,longitude,latitude,owner,street_name,ward,ward_name,area,area_name,region,region_name
140901321,"Đất Vườn Nghỉ Dưỡng Củ Chi, 1000m2, Shr. TL Thượng",1450000000,1671760684000,1040,Đất,,,,,,,"11.0914,106.43926",106.43926,11.0914,False,,9479,Xã Trung Lập Thượng,116,Huyện Củ Chi,,
140901283,mặt tiền trung tâm Tư Nghĩa Quảng Ngãi chỉ 2xx tr,240000000,1671760665000,1040,Đất,,,,,,,"15.13677,108.69113",108.69113,15.13677,False,,7234,Xã Nghĩa Lâm,47,Huyện Tư Nghĩa,,
140901032,100m2 đất ở tại Vinh Hà Phú Vang chỉ hơn 30tr/lô,330000000,1671760548000,1040,Đất,,,,,,,"16.49934,107.56186",107.56186,16.49934,False,,6723,Phường Hương Sơ,40,Thành phố Huế,,
140901185,"Đất full thổ An Lục Long, Châu Thành. 460tr/114m2",460000000,1671760508000,1040,Đất,,,,,,,"10.414888,106.48182",106.48182,10.414888,False,,9728,Xã An Lục Long,32,Huyện Châu Thành,,
140901188,"Đất Vùng Ven Giá Rẻ Tp Pleiku, Gia Lai",1350000000,1671760501000,1040,Đất,,,,,,,"13.89421,108.04977",108.04977,13.89421,False,,8115,Xã Ia Băng,56,Huyện Đăk Đoa,,
140901189,ĐẤT NỀN THỔ CƯ BIÊN HOÀ,1300000000,1671760501000,1040,Đất,,,,,,,"10.99678,106.93371",106.93371,10.99678,False,,9035,Xã Tân Bình,13,Huyện Vĩnh Cửu,,
140901174,4200m/2000tc tại đa phúc yên thuỷ,1900000000,1671760480000,1040,Đất,,,,,,,"20.447548,105.57675",105.57675,20.447548,False,,2215,Xã Đa Phúc,5,Huyện Yên Thủy,,
140901136,NỢ DÍ CẦN BÁN LÔ ĐẤT FULL THỔ NGAY SÁT TT CẦN ĐƯỚC,390000000,1671760457000,1040,Đất,,,,,,,"10.48647,106.62483",106.62483,10.48647,False,,9698,Xã Phước Đông,32,Huyện Cần Đước,,
140901137,Còn vài lô gần vĩnh điện cách Đường lộ 20m giá 6xx,600000000,1671760438000,1040,Đất,,,,,,,"15.8887,108.14879",108.14879,15.8887,False,,6975,Phường Vĩnh Điện,16,Thị xã Điện Bàn,,
140202079,Đất mặt tiền liên ấp bờ kênh LONG ĐỊNH,1500000000,1671760417132,1040,Đất,,,,,,,"10.56858,106.55709",106.55709,10.56858,False,,9687,Xã Long Định,32,Huyện Cần Đước,,
140900800,còn 2 lô góc *** Điện Phước sát lộ giá 6xx,650000000,1671760381000,1040,Đất,,,,,,,"15.88396,108.22523",108.22523,15.88396,False,,6985,Phường Điện An,16,Thị xã Điện Bàn,,
140900686,Bán Lô Green gần cầu Cổ Cò đầu tư Origarden,2200000000,1671760353000,1040,Đất,,,,,,,"15.89396,108.24635",108.24635,15.89396,False,,6981,Phường Điện Ngọc,16,Thị xã Điện Bàn,,
140900984,BÁN 1 SÀO ĐẤT ĐẸP GIÁ RẺ GẦN KDL CHỨA CHAN GIA LÀO,850000000,1671760265000,1040,Đất,,,,,,,"10.934,107.34726",107.34726,10.934,False,,9117,Xã Suối Cát,13,Huyện Xuân Lộc,,
140900977,"ĐẤT ĐƯỜNG BÙI THANH KHIẾT 6X20 T.TRẤN TÂN TÚC, B.C",1000000000,1671760259000,1040,Đất,,,,,,,"10.68181,106.57757",106.57757,10.68181,False,,9509,Thị trấn Tân Túc,115,Huyện Bình Chánh,,
140900917,BÁN 1000M2 CÓ 100M TC NGAY KCN BECAMEX 6300HA,250000000,1671760201000,1040,Đất,,,,,,,"11.59025,106.9794",106.9794,11.59025,False,,8734,Xã Đồng Tâm,12,Huyện Đồng Phú,,
140900896,Gia đình cần ra gấp lô đất để trả nợ kỳ World cup,900000000,1671760189000,1040,Đất,,,,,,,"11.60721,107.83328",107.83328,11.60721,False,,8629,Xã Lộc Tân,57,Huyện Bảo Lâm,,
140900888,Đất trung tâm Điện Bàn cách chợ vĩnh điện 2km,600000000,1671760164000,1040,Đất,,,,,,,"15.8887,108.14879",108.14879,15.8887,False,,6975,Phường Vĩnh Điện,16,Thị xã Điện Bàn,,
140900467,Đất mặt tiền ngô chí quốc bình chiểu thủ đức,21000000000,1671760144000,1040,Đất,,,,,,,"10.88336,106.7244",106.7244,10.88336,False,,9245,Phường Linh Chiểu (Quận Thủ Đức cũ),119,Thành phố Thủ Đức,,
140900815,bán đất vườn lộc trung mỹ lộc cần giuộc long an,2200000000,1671760088000,1040,Đất,,,,,,,"10.613144,106.635025",106.635025,10.613144,False,,9707,Xã Mỹ Lộc,32,Huyện Cần Giuộc,,
135754427,"Bán Đất Hẻm 3m Nhất Chi Mai. 4,6x12,5. Giá 4,3 Tỷ",4300000000,1671760068000,1040,Đất,,,,,,,"10.80365,106.6401",106.6401,10.80365,False,,9302,Phường 13,112,Quận Tân Bình,,
